calories;proteins;fat;carbohydrate;name
110;5.9;8.2;3.2;Gulai keumamah masakan
143;4;11.4;6;Gulai pakis
176;7.3;14.9;3.2;Gulai pliek
132;9;7.2;7.8;Gulai tiram masakan
192;12.7;10.1;12.7;Gurame asem manis masakan
218;0.5;2.5;48.5;Gurandil
389;16.9;35;0.3;Ham
65;10;1;3.5;Hangop
134;19.7;4.8;1.7;Hati Babi
136;19.7;3.2;6;Hati Sapi
390;14.2;7.4;68.2;Havermout
127;1.2;0.5;29.5;Hofa/Ubi hutan segar
146;17.7;5.9;5.6;Ikan asar merah masakan
380;33.6;27.5;0;Ikan Asin bilis goreng
456;46.5;24.4;0;Ikan Asin gabus goreng
348;18.7;29.5;0;Ikan Asin japuh goreng
193;42;1.5;0;Ikan Asin kering
430;58.2;23.6;0;Ikan Asin pari goreng
652;40.4;54.3;0;Ikan Asin pepetek goreng
319;6.9;31.7;0;Ikan Asin sirinding goreng
430;33.4;32.4;0;Ikan Asin teri goreng
198;19;13;0;Ikan Bader (Tawes)
107;16.5;3.9;1.5;Ikan balong segar
112;20;1.3;3.7;Ikan bambangan segar
129;20;4.8;0;Ikan Bandeng
296;17.1;20.3;11.3;Ikan bandeng presto masakan
111;19.4;0.9;4.8;Ikan banjar segar
78;14.5;0.6;3.7;Ikan baronang segar
144;17.8;5.8;5.2;Ikan baung bakar
123;15.1;5.5;3.3;Ikan baung segar
96;19;1.7;0;Ikan Bawal
138;14;0.7;7.4;Ikan Bekasang
128;18;3;7.2;Ikan Belida bakar
80;14.7;1.4;2.2;Ikan Belida segar
417;25.9;19.4;32;Ikan Belut Segar goreng
82;6.7;1;10.9;Ikan Belut Segar mentah
66;14;0;0;Ikan Beunteur
90;14.9;2.5;2.1;Ikan biawan segar
88;14.2;0.7;6.2;Ikan bili segar
100;14.7;2.4;4.9;Ikan bubara segar
134;25.5;1.3;5;Ikan bulan-bulan segar
204;34.2;5.6;1.9;Ikan cakalang asap mentah
198;36.5;2.2;5.5;Ikan cakalang asin mentah
120;11.3;3.9;10;Ikan cakalang hati segar
116;11.2;1.2;10.2;Ikan cakalang jantung segar
86;10.2;1.1;8.7;Ikan cakalang perut segar
107;19.6;0.7;5.5;Ikan cakalang segar
81;11.4;1.9;3.8;Ikan calo/ peda mentah
101;11.5;4.1;4.6;Ikan daun segar
109;17;4;0;Ikan Ekor Kuning
261;38.1;2.3;21.9;Ikan Gabus asap mentah
292;58;4;0;Ikan Gabus kering
74;25.2;1.7;0;Ikan Gabus segar
267;23.1;19.4;0.2;Ikan gete goreng
101;10.3;3.7;6.7;Ikan hitam segar
298;46.3;3.6;20.2;Ikan hiu kering
57;10.7;0.3;2.2;Ikan hiu segar
77;15.6;0.9;1.6;Ikan kacangan segar
92;20;0.7;0;Ikan kakap segar
82;11.4;1.2;6.4;Ikan kakatua segar
132;17;6.7;0.8;Ikan kapar segar
162;31.7;2.8;0.3;Ikan katombo asin
110;12.6;4.2;5.4;Ikan kawalinya segar
302;70.7;1.9;0.4;Ikan kayu kering
103;22;1;0;Ikan Kembung
70;10.8;0.7;5.2;Ikan kima segar
147;17.5;6.5;5.4;Ikan Lais bakar
109;22;1.7;0;Ikan Layang
82;18;1;0.4;Ikan layur segar
90;20.4;0.9;0;Ikan lehoma segar
252;19.9;19.1;0;Ikan Lele goreng
112;20;3;0;Ikan Lemuru
104;15.6;3.2;2;Ikan lidah segar
258;40.3;2.3;18.9;Ikan lomak asin mentah
99;20.6;1.4;0.9;Ikan malalugis segar
86;16;2;0;Ikan Mas
188;19.3;12.2;0;Ikan Mas goreng
209;15.2;11.3;11.8;Ikan Mas pepes
97;17.9;2;0.4;Ikan mayong segar
598;74.3;26.9;9.2;Ikan Mujair dendeng goreng
582;68.3;15.2;37.2;Ikan Mujair dendeng mentah
416;46.9;23.9;0;Ikan Mujair goreng
121;21.7;2.8;0.8;Ikan Mujair pepes
89;18.7;1;0;Ikan Mujair segar
154;16.8;5;10.5;Ikan nasu metti segar
125;21.3;3.4;2.2;Ikan oci kembung segar
152;17.6;6.1;6.7;Ikan Papuyu bakar
120;14.3;4.9;4.6;Ikan papuyu/ betok segar
144;17.5;6.3;4.3;Ikan Patin bakar
132;17;6.6;1.1;Ikan Patin segar
156;28;4;2;Ikan peda banjar mentah
176;32;4.4;0;Ikan Pepetek
157;28;4.2;1.8;Ikan Pindang banjar mentah
170;31;4.2;0;Ikan Pindang benggol mentah
153;30;2.8;0;Ikan Pindang layang mentah
142;27;3;0;Ikan Pindang selar mentah
415;61.3;17.6;2.9;Ikan sale lais mentah
534;40.2;39.3;4.9;Ikan Sale segar
284;34.1;9.9;14.6;Ikan saluang kering mentah
113;13.9;4.9;3.4;Ikan saluang segar
240;21.7;7.7;20.7;Ikan sanggang masakan
109;19.9;1.8;3.4;Ikan sarden segar
113;17;4.5;0;Ikan Segar
194;38;3.5;0;Ikan Selar kering
138;27;3.3;0;Ikan selar kuning cue mentah
100;18.8;2.2;0;Ikan selar segar
289;38;14;0;Ikan Sepat kering
84;15.2;0.6;4.7;Ikan sepat segar
81;11.4;1.9;3.8;Ikan sidat segar
199;34.1;3.8;7.1;Ikan sunu asin mentah
111;13.3;3.4;6.7;Ikan sunu segar
88;15.9;0.9;4.1;Ikan tahuman segar
96;19.5;1.1;2;Ikan tarmon segar
95;15.8;0.7;6.5;Ikan telan segar
358;20.7;26.4;9.4;Ikan telur asin mentah
204;16;15;0;Ikan Tembang
101;15.1;4.1;1;Ikan tempahas segar
316;60.1;6.5;22.4;Ikan tepung mentah
98;19.6;1.7;1;Ikan terbang segar
277;60;2.3;1.8;Ikan Teri bubuk
170;33.4;3;0;Ikan Teri kering
331;68.7;4.2;0;Ikan Teri Kering tawar
144;32.5;0.6;0;Ikan Teri Nasi kering
74;10.3;1.4;4.1;Ikan teri segar
347;48.8;6.4;19.6;Ikan Teri tepung
82;17.4;0.4;2.3;Ikan titang segar
100;13.7;1.5;8;Ikan tongkol segar
96;19.2;2;0.2;Ikan turi segar
474;7.6;21.6;62.3;Intip goreng
496;30.3;33.5;18.4;Itik alabio daging dendeng mentah
156;2.7;1.3;33.3;Jagung grontol
361;8.7;4.5;72.4;Jagung Kuning giling
129;4.1;1.3;30.3;Jagung Kuning muda
307;7.9;3.4;63.6;Jagung Kuning pipil baru
366;9.8;7.3;69.1;Jagung kuning pipil kering mentah
355;9.2;3.9;73.7;Jagung Kuning pipil lama
154;3.8;3.5;28.4;Jagung kuning pipil rebus
140;4.7;1.3;33.1;Jagung Kuning segar
355;9.2;3.9;73.7;Jagung kuning tepung
35;2.2;0.1;7.4;Jagung muda
147;5.1;0.7;31.5;Jagung muda kuning mentah
142;5;0.7;30.3;Jagung muda rebus
367;6.2;5.1;76.2;Jagung pipil var. harapan kering
368;5.5;4.6;78;Jagung pipil var. metro kering
361;8.7;4.5;72.4;Jagung Putih giling
129;4.1;1.3;30.3;Jagung Putih muda
307;7.9;3.4;63.6;Jagung Putih pipil baru
355;9.2;3.9;73.7;Jagung Putih pipil lama
140;4.7;1.3;33.1;Jagung Putih segar
175;1.8;1.8;35;Jagung Rebus 
148.9;10.4;10.4;20.1;Jagung Sayur (tumis) 
374;9.4;2.2;79.1;Jagung titi
51;1.5;1;10.1;Jahe
289;11;4;61;Jali
239;0.5;0.6;64.5;Jam selai
286;48.5;9.2;2.3;Jambal goreng
46;0.6;0;11.8;Jambu Air
49;0.9;0.3;12.2;Jambu Biji
61;0.9;0.3;15.4;Jambu biji putih tidak berbiji
56;0.6;0.3;14.2;Jambu Bol
64;0.7;0.6;15.8;Jambu Monyet buah
350;6.2;1.4;78.2;Jampang huma mentah
45;2.5;3.9;0;Jamur Coklat (kulat siau)
296;9.4;1.1;62;Jamur encik
294;16;0.9;64.6;Jamur kuping kering
21;3.8;0.6;0.9;Jamur kuping segar
30;3.5;0.2;4;Jamur merang segar
48;2.8;4.1;2.9;Jamur Putih (kulat putih)
